date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:01:21	68516/68516	---M-Z	200	added ('OK')	application/javascript	etag:%2210ba4-5dea1baf58ed0-gzip%22	https://templates.iqonic.design/yofit/html/assets/vendor/fullcalendar/timegrid/main.js	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/vendor/fullcalendar/timegrid/main.js	(from https://templates.iqonic.design/yofit/html/backend/calender.html)
12:01:22	15939/15939	---M-Z	200	added ('OK')	application/javascript	etag:%223e43-5dea1baf56f91-gzip%22	https://templates.iqonic.design/yofit/html/assets/vendor/fullcalendar/list/main.js	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/vendor/fullcalendar/list/main.js	(from https://templates.iqonic.design/yofit/html/backend/calender.html)
12:01:22	102552/102552	---M-Z	200	added ('OK')	application/javascript	etag:%2219098-5dea1baf56f91-gzip%22	https://templates.iqonic.design/yofit/html/assets/vendor/fullcalendar/interaction/main.js	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/vendor/fullcalendar/interaction/main.js	(from https://templates.iqonic.design/yofit/html/backend/calender.html)
12:01:22	6948/6948	---M--	200	added ('OK')	image/jpeg	etag:%221b24-5dea1baf29131%22	https://templates.iqonic.design/yofit/html/assets/images/profile/07.jpg	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/images/profile/07.jpg	(from https://templates.iqonic.design/yofit/html/backend/payment.html)
12:01:23	4035/4035	---M--	200	added ('OK')	image/jpeg	etag:%22fc3-5dea1baf29131%22	https://templates.iqonic.design/yofit/html/assets/images/profile/08.jpg	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/images/profile/08.jpg	(from https://templates.iqonic.design/yofit/html/backend/payment.html)
12:01:23	5728/5728	---M--	200	added ('OK')	image/jpeg	etag:%221660-5dea1baf29131%22	https://templates.iqonic.design/yofit/html/assets/images/profile/09.jpg	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/images/profile/09.jpg	(from https://templates.iqonic.design/yofit/html/backend/payment.html)
12:01:23	3705/3705	---M--	200	added ('OK')	image/jpeg	etag:%22e79-5dea1baf29131%22	https://templates.iqonic.design/yofit/html/assets/images/profile/10.jpg	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/images/profile/10.jpg	(from https://templates.iqonic.design/yofit/html/backend/payment.html)
12:01:24	18074/18074	---M--	200	added ('OK')	image/jpeg	etag:%22469a-5dea1baf29131%22	https://templates.iqonic.design/yofit/html/assets/images/profile/11.jpg	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/images/profile/11.jpg	(from https://templates.iqonic.design/yofit/html/backend/payment.html)
12:01:24	9266/9266	---M--	200	added ('OK')	image/jpeg	etag:%222432-5dea1baf2b071%22	https://templates.iqonic.design/yofit/html/assets/images/user/i1.jpg	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/images/user/i1.jpg	(from https://templates.iqonic.design/yofit/html/backend/ui-avatars.html)
12:01:24	8931/8931	---M--	200	added ('OK')	image/jpeg	etag:%2222e3-5dea1baf2a0d1%22	https://templates.iqonic.design/yofit/html/assets/images/user/05.jpg	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/images/user/05.jpg	(from https://templates.iqonic.design/yofit/html/backend/ui-avatars.html)
